txn_ref_id,sys_a_date,sys_a_amount_attribute_1,sys_a_amount_attribute_2,sys_b_date,sys_b_amount_attribute_1,sys_b_amount_attribute_2,txn_type,payment_method,recon_status,recon_sub_status,currency_type
13618725,26/08/24,6,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
81768473,26/08/24,3,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
96988196,26/08/24,15,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
15364726,26/08/24,40,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
65259380,26/08/24,351,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
84972550,26/08/24,17,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
71194233,25/08/24,127,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
77234526,09/10/24,501,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
33963035,08/10/24,21,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
20349703,03/10/24,10400,3.5,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
66937809,26/10/24,3126,3.5,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
58637973,16/11/24,407,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
73307871,12/11/24,127,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
20197198,27/11/24,5500,3.5,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
74727226,03/12/24,10,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
97566778,16/11/24,1.399999976,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
32616337,18/11/24,200,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
36758479,18/11/24,3,1.4,,,,payout,upi,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
90014073,02/04/24,84.41000366,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
73239761,17/04/24,40000,3.5,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
78839426,10/07/24,7120,3.5,,,,payout,upi,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
53186640,30/04/24,68,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
37331518,18/07/24,50,1.4,,,,payout,upi,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
67468527,23/07/24,1275,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
42205539,09/08/24,350,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
44316620,16/08/24,700,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
40908049,06/08/24,1000,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
43371350,05/08/24,7000,3.5,,,,payout,upi,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
32179801,07/08/24,25,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
17771704,13/08/24,1700,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
36051516,13/08/24,675,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
74679886,13/08/24,20.29999924,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
41919651,13/08/24,270,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
70316575,25/08/24,15,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
83413298,25/08/24,52,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
49881751,26/08/24,10000,3.5,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
44997447,26/08/24,180,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
89968841,26/08/24,6083,3.5,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
85884133,26/08/24,150,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
60104471,26/08/24,100,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
13227660,26/08/24,4000,3.5,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
88813193,26/08/24,7384,3.5,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
11570297,26/08/24,350,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
92873637,26/08/24,15,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
43695040,26/08/24,22,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
63871003,26/08/24,20,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
76366358,26/08/24,5,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
83911583,26/08/24,100,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
81917918,26/08/24,10,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
64990183,03/09/24,10500,3.5,,,,payout,upi,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
76783419,27/09/24,5060,3.5,,,,payout,upi,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
96468014,05/04/24,11.39000034,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
74785864,17/04/24,575,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
70826402,28/04/24,520,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
45031467,11/10/24,20,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
65781697,16/07/24,2,1.4,,,,payout,upi,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
99617229,23/07/24,12000,3.5,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
25752551,29/07/24,35,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
95197689,06/08/24,11.19999981,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
89151560,13/08/24,1225,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
79471280,13/08/24,667.9000244,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
36669936,13/08/24,256.8099976,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
65981988,13/08/24,40,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
16780815,25/08/24,350,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
34949731,26/08/24,340,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
84490819,26/08/24,9000,3.5,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
32805372,26/08/24,700,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
80266019,26/08/24,1000,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
48732520,26/08/24,1750,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
63126963,26/08/24,810,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
49176653,26/08/24,84,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
17396018,27/08/24,362,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
81306467,26/08/24,200,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
43543651,26/08/24,76,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
69007428,26/08/24,2,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
36702557,25/08/24,600,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
23310712,26/08/24,15000,3.5,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
71372534,26/08/24,60,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
69072313,26/08/24,223,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
13631362,26/08/24,340,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
18297514,18/09/24,7.699999809,1.4,,,,payout,upi,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
27178082,27/09/24,35,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
15774621,12/10/24,1059,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
71878823,25/10/24,3.630000114,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
56893464,26/10/24,230,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
85688856,16/11/24,102,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
57673464,19/11/24,173,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
99927636,12/11/24,100,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
68510151,01/12/24,35,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
63554274,13/04/24,58,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
79338124,26/04/24,507,1.4,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
19198324,08/05/24,2040,3.5,,,,payout,banktransfer,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
80445127,16/07/24,5400,3.5,,,,payout,upi,Not Found,"{""amount"":""Not Found-SysB"",""fee"":""Not Found-SysB""}",INR
